symbol,side,sector,lev,entry_kst,exit_kst,entry_ts,exit_ts,hold_h,entry_hour_kst,n_entries,n_exits,taker_ratio,notional,margin,gross_pnl,fee,net_pnl,roe,liquidation,regime,btc_adx,btc_atr_pct,btc_move_pct,day
ZORA/USDT:USDT,long,alt,3,08-31 07:00,08-31 07:43,1788127253.212,1788129801.385,0.7078258333603541,7,28,5,1.0,1141.56636,380.52212000000003,-25.247310000098555,-0.8128387476000001,-26.060148747698555,-0.06848524008984958,False,trend_down,25.1,0.46,0.0,08-31
TRX/USDT:USDT,long,major,5,08-31 02:00,08-31 07:35,1788109247.472,1788129315.825,5.574542500045564,2,17,6,1.0,1010.4207,202.08414,-10.207100000000311,-0.723828348,-10.930928348000311,-0.05409097590736369,False,trend_up,24.1,0.39,-0.75,08-31
DASH/USDT:USDT,long,alt,3,08-31 02:00,08-31 06:01,1788109258.596,1788123711.142,4.014596111112171,2,18,11,1.0,1288.0194000000001,429.3398,-26.322100000000013,-0.917898012,-27.23999801200001,-0.06344624470407824,False,trend_up,24.1,0.39,-0.47,08-31
GRVT/USDT:USDT,long,alt,3,08-29 14:58,08-30 00:35,1787983085.923,1788017730.268,9.623429166608387,14,86,62,1.0,10513.276000000003,3504.4253333333345,98.22139999986625,-7.604918423999999,90.61648157586625,0.02585772928700803,False,trend_down,34.2,0.55,0.29,08-30
GRVT/USDT:USDT,long,alt,3,08-31 02:30,08-31 06:01,1788111021.74,1788123690.08,3.5189833333094915,2,11,8,1.0,575.4802999999999,191.82676666666666,-1.8866000000005245,-0.41366664000000003,-2.3002666400005247,-0.011991374717781954,False,trend_up,24.1,0.39,-0.47,08-31
HYPE/USDT:USDT,long,alt,3,08-31 02:00,08-31 05:44,1788109245.584,1788122689.709,3.7344791666666666,2,13,3,1.0,1472.4843999999994,490.82813333333314,-29.7348,-1.0494842399999997,-30.784284239999998,-0.06271907038200203,False,trend_up,24.1,0.39,-0.54,08-31
XRP/USDT:USDT,long,major,5,08-31 02:00,08-31 05:29,1788109239.919,1788121781.913,3.4838872222767936,2,1,1,1.0,1249.336,249.8672,-12.76,-0.89492832,-13.65492832,-0.05464874269211805,False,trend_up,24.1,0.39,-0.54,08-31
LAB/USDT:USDT,long,alt,3,08-31 02:00,08-31 02:01,1788109254.091,1788109280.1,0.007224722173478869,2,11,1,0.9166666666666666,787.8816199999999,262.6272066666666,-16.751540000001906,-0.39930689519999996,-17.150846895201905,-0.06530491304722368,False,trend_up,24.1,0.39,0.0,08-31
LAB/USDT:USDT,long,alt,3,08-31 02:30,08-31 04:20,1788111016.72,1788117643.441,1.8407558333211476,2,15,9,0.9583333333333334,769.7599000000001,256.5866333333334,-14.017930000004089,-0.44393250360000003,-14.461862503604088,-0.056362493695517595,False,trend_up,24.1,0.39,-0.2,08-31
ADA/USDT:USDT,long,major,5,08-31 02:00,08-31 02:24,1788109243.662,1788110678.056,0.3984427777926127,2,6,18,1.0,1250.0480000000002,250.00960000000003,-13.863000000000003,-0.8950438800000002,-14.758043880000002,-0.05902990877150317,False,trend_up,24.1,0.39,0.0,08-31
